
2024/07/09 (17:41:59) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/09 (17:41:59) | DEBUG: Shared::init() : Initialized.
2024/07/09 (17:43:30) | DEBUG: Writing new config file
2024/07/09 (17:43:30) | INFO: Quitting! Runtime: 00:01:31

2024/07/09 (17:44:18) | ===> btop++ v.1.3.2
2024/07/09 (17:44:18) | INFO: Logger set to DEBUG
2024/07/09 (17:44:18) | DEBUG: Using locale en_US.UTF-8
2024/07/09 (17:44:18) | INFO: Running on /dev/pts/1
2024/07/09 (17:44:18) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/09 (17:44:18) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/09 (17:44:18) | DEBUG: Shared::init() : Initialized.
2024/07/09 (17:44:24) | INFO: Quitting! Runtime: 00:00:06

2024/07/09 (17:54:03) | ===> btop++ v.1.3.2
2024/07/09 (17:54:03) | INFO: Logger set to DEBUG
2024/07/09 (17:54:03) | DEBUG: Using locale en_US.UTF-8
2024/07/09 (17:54:03) | INFO: Running on /dev/pts/0
2024/07/09 (17:54:03) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/09 (17:54:03) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/09 (17:54:03) | DEBUG: Shared::init() : Initialized.
2024/07/09 (17:55:59) | DEBUG: Writing new config file
2024/07/09 (17:55:59) | INFO: Quitting! Runtime: 00:01:56

2024/07/09 (17:56:36) | ===> btop++ v.1.3.2
2024/07/09 (17:56:36) | INFO: Logger set to DEBUG
2024/07/09 (17:56:36) | DEBUG: Using locale en_US.UTF-8
2024/07/09 (17:56:36) | INFO: Running on /dev/pts/0
2024/07/09 (17:56:36) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/09 (17:56:36) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/09 (17:56:36) | DEBUG: Shared::init() : Initialized.
2024/07/09 (17:57:08) | INFO: Quitting! Runtime: 00:00:32

2024/07/09 (18:22:33) | ===> btop++ v.1.3.2
2024/07/09 (18:22:33) | INFO: Logger set to DEBUG
2024/07/09 (18:22:33) | DEBUG: Using locale en_US.UTF-8
2024/07/09 (18:22:33) | INFO: Running on /dev/pts/1
2024/07/09 (18:22:33) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/09 (18:22:33) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/09 (18:22:33) | DEBUG: Shared::init() : Initialized.
2024/07/09 (18:22:52) | INFO: Quitting! Runtime: 00:00:19

2024/07/09 (18:23:27) | ===> btop++ v.1.3.2
2024/07/09 (18:23:27) | INFO: Logger set to DEBUG
2024/07/09 (18:23:27) | DEBUG: Using locale en_US.UTF-8
2024/07/09 (18:23:27) | INFO: Running on /dev/pts/1
